18859551221,0
2,0
3,0
2,1
3,1
4,1
3,2
4,2
5,2
4,3
5,3
6,3
0,4
5,4
6,4
7,4
8,4
0,5
1,5
6,5
7,5
8,5
9,5
0,6
1,6
2,6
7,6
8,6
9,6
10,6
32,28
0,7
3,7
8,7
9,7
10,7
32,29
33,29
0,8
9,8
10,8
11,8
32,30
33,30
34,30
10,9
11,9
12,9
13,9
11,10
12,10
13,10
14,10
32,31
33,31
34,31
12,11
13,11
14,11
33,32
34,32
35,32
34,33
35,33
36,33
37,33
8,12
13,12
14,12
15,12
64,61
65,61
14,13
15,13
16,13
17,13
35,34
36,34
37,34
38,34
64,62
65,62
66,62
15,14
16,14
17,14
18,14
36,35
37,35
38,35
39,35
64,63
65,63
66,63
65,64
66,64
67,64
37,36
38,36
39,36
16,15
17,15
18,15
19,15
99,91
17,16
18,16
19,16
38,37
39,37
40,37
66,65
67,65
68,65
96,92
99,92
39,38
40,38
41,38
18,17
19,17
20,17
67,66
68,66
69,66
70,66
96,93
97,93
98,93
99,93
19,18
20,18
21,18
22,18
40,39
41,39
42,39
43,39
68,67
69,67
70,67
71,67
96,94
97,94
98,94
99,94
69,68
70,68
71,68
20,19
21,19
22,19
23,19
41,40
42,40
43,40
44,40
21,20
22,20
23,20
24,20
42,41
43,41
44,41
45,41
65,69
70,69
71,69
72,69
96,95
97,95
98,95
99,95
97,96
98,96
99,96
22,21
23,21
24,21
71,70
72,70
73,70
38,42
43,42
44,42
45,42
46,42
98,97
99,97
44,43
45,43
46,43
47,43
23,22
24,22
25,22
72,71
73,71
74,71
75,71
99,98
24,23
25,23
26,23
27,23
73,72
74,72
75,72
76,72
45,44
46,44
47,44
48,44
46,45
47,45
48,45
74,73
75,73
76,73
25,24
26,24
27,24
28,24
47,46
48,46
49,46
26,25
27,25
28,25
29,25
70,74
75,74
76,74
77,74
48,47
49,47
50,47
51,47
27,26
28,26
29,26
76,75
77,75
78,75
49,48
50,48
51,48
28,27
29,27
30,27
77,76
78,76
79,76
80,76
50,49
51,49
52,49
29,28
30,28
31,28
78,77
79,77
80,77
81,77
30,29
31,29
79,78
80,78
81,78
46,50
51,50
52,50
53,50
54,50
31,30
52,51
53,51
54,51
55,51
75,79
80,79
81,79
82,79
81,80
82,80
83,80
84,80
48,52
53,52
54,52
55,52
56,52
82,81
83,81
84,81
85,81
49,53
54,53
55,53
56,53
55,54
56,54
57,54
83,82
84,82
85,82
86,82
84,83
85,83
86,83
56,55
57,55
58,55
85,84
86,84
87,84
57,56
58,56
59,56
60,56
86,85
87,85
88,85
89,85
58,57
59,57
60,57
61,57
59,58
60,58
61,58
87,86
88,86
89,86
90,86
55,59
60,59
61,59
62,59
88,87
89,87
90,87
91,87
89,88
90,88
91,88
61,60
62,60
63,60
90,89
91,89
92,89
62,61
63,61
63,62
91,90
92,90
93,90
94,90
92,91
93,91
94,91
95,91
60,64
93,92
94,92
95,92
89,93
94,93
95,93
95,94
